Date,Source,Destination,Departure time,Arrival time,Duration,Stops,CAD $,Airports
2022-05-01,BOM,YYZ,7:35 p.m.,6:55 p.m.,32h 50m ,3,1206,"IndiGo, Lufthansa"
2022-05-01,BOM,YYC,4:25 a.m.,12:02 a.m.,31h 07m ,2,1260,"Qatar Airways, Alaska Airlines"
2022-05-01,BOM,YYZ,9:45 p.m.,6:00 p.m.,29h 45m ,2,1261,"Gulf Air, Condor"
2022-05-01,BOM,YYZ,5:35 p.m.,4:30 p.m.,32h 25m ,3,1263,"IndiGo, Air Canada"
2022-05-01,BOM,YYC,6:25 a.m.,12:58 p.m.,42h 03m ,2,1305,"Turkish Airlines, Air Canada"
2022-05-01,BOM,YYC,4:25 a.m.,2:03 p.m.,45h 08m ,2,1306,"Qatar Airways, Alaska Airlines"
2022-05-01,BOM,YYZ,7:20 p.m.,6:55 p.m.,33h 05m ,3,1321,"Emirates, Lufthansa"
2022-05-01,BOM,YYZ,7:35 p.m.,4:20 p.m.,30h 15m ,2,1363,"IndiGo, Lufthansa"
2022-05-01,BOM,YYZ,10:20 p.m.,6:00 p.m.,29h 10m ,2,1364,"Emirates, Condor"
2022-05-01,BOM,YYZ,9:45 p.m.,3:40 p.m.,27h 25m ,2,1456,"Gulf Air, Air Transat"
2022-05-01,BOM,YYC,6:25 a.m.,12:58 p.m.,42h 03m ,2,1820,"Turkish Airlines, Air Canada"
2022-05-01,BOM,YYC,5:10 a.m.,12:02 a.m.,30h 22m ,2,1899,"Emirates, Alaska Airlines"
2022-05-01,BOM,YYZ,4:25 a.m.,7:05 p.m.,24h 10m ,2,1978,"Qatar Airways, WestJet"
2022-05-01,BOM,YYZ,4:25 a.m.,7:38 p.m.,24h 43m ,2,2053,"Qatar Airways, Air Canada"
2022-05-01,BOM,YYZ,2:25 a.m.,6:35 p.m.,25h 40m ,2,2117,"Kuwait Airways, Turkish Airlines"
2022-05-01,BOM,YYC,4:25 a.m.,9:53 p.m.,28h 58m ,2,2158,"Qatar Airways, American Airlines"
2022-05-01,BOM,YYZ,4:25 a.m.,9:31 p.m.,26h 36m ,2,2206,"Qatar Airways, American Airlines"
2022-05-01,BOM,YYZ,5:15 a.m.,6:25 p.m.,22h 40m ,2,2238,SWISS
2022-05-01,BOM,YYZ,10:20 p.m.,5:12 p.m.,28h 22m ,2,2239,Emirates
